id,title,artist,duration,audio_url,cover_art_url,user_id,created_at,updated_at,lyrics_url,image_url,cover_url,genre,is_nft,play_count,likes_count,trending_score
7a33564e-2f5b-422f-8d3f-9b35d52582cd,Bad Influence,Omah Lay,139,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757257482466_Omah-lay-Bad-Influence.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:04:51.345753+00,2025-09-07 15:04:51.345753+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757257487709_Omah Lay - Bad Influence.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757257488683_bad influence.jpg,Afro,false,0,0,0
c65f9e75-18af-4f96-afc0-d973683a4899,KU_LO_SA,Oxlade,149,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757257860303_Oxlade_-_KU_LO_SA_Full_Version_.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:11:10.822125+00,2025-09-07 15:11:10.822125+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757257866907_Oxlade - KU LO SA.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757257867721_kulosa.jpg,Afro,false,0,0,0
29c32473-d883-42b1-b1c7-c255efe6bc6d,In Da Club,50 Cent,248,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258011064_50 Cent - In Da Club.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:13:40.704217+00,2025-09-07 15:13:40.704217+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258017067_50 Cent - In Da Club.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258018160_50_Cent_-_In_Da_Club_-_CD_cover.jpg,Hip Hop,false,0,0,0
a8571ab9-c9ea-402e-8559-20befdb43872,Pretty Little Fears," 6LACK ft J.cole",241,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258128777_Pretty Little Fears (feat. J. Cole) - 6LACK.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:15:35.871073+00,2025-09-07 15:15:35.871073+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258132327_6LACK - Pretty Little Fears (feat. J. Cole).lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258133348_pretty little fears.jpg,Hip Hop,false,0,0,0
9c1196b2-250a-4395-9f0d-01830cb8d700,Oceans-Where-Feet-May-Fail,Hillsong-UNITED,540,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258304789_Oceans-Where-Feet-May-Fail-Hillsong-UNITEDCeeNaija.com_.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:18:34.584751+00,2025-09-07 15:18:34.584751+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258310925_Oceans (Where Feet May Fail) Lyric Video - Hillsong UNITED.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258311909_oceans.jpg,Gospel,false,0,0,0
ff02036d-80c7-4a44-9f0d-28940b11cebb,Hate_That_I_Love_You,Rihanna_Ft_Ne-Yo,219,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258453957_Rihanna_Ft_Ne-Yo_-_Hate_That_I_Love_You_Offblogmedia.com.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:21:01.466377+00,2025-09-07 15:21:01.466377+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258457676_Rihanna - Hate that i Love You (feat. Ne-Yo).lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258458547_hate that i love you.jpg,Pop,false,0,0,0
48aa0ce9-395d-4938-97ac-a9252691e8be,See_How_Far,Victoria_Orenze_-Ft_Nathaniel_Bassey_Dunsin_Oyekan,1177,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258577103_Victoria_Orenze_-_See_How_Far_Ft_Nathaniel_Bassey_Dunsin_Oyekan_CeeNaija.com_.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:23:08.872851+00,2025-09-07 15:23:08.872851+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258585351_VICTORIA ORENZE - See How Far (feat. Nathaniel Bassey & dunsin oyekan).lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757258586579_see how far.webp,Gospel,false,0,0,0
8a59ff43-4975-491e-b2e0-02fcb6b3e92e,Pretty Little Fears,6Lack ft J.cole,241,"f0eddc26-5112-49c7-bbc2-fdf440e09550/1757259693130_6LACK, J. Cole - Pretty Little Fears (Lyrics)_mixed.mp3",null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:41:43.094662+00,2025-09-07 15:41:43.094662+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757259699745_6LACK - Pretty Little Fears (feat. J. Cole).lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757259700608_pretty little fears.jpg,Hip Hop,false,0,0,0
4403b9ba-68b6-4dac-95cc-bd2676e26add,In Da Club,50 Cent,248,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757259801576_50 Cent - In Da Club_mixed.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:43:29.903668+00,2025-09-07 15:43:29.903668+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757259806905_50 Cent - In Da Club.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757259807749_50_Cent_-_In_Da_Club_-_CD_cover.jpg,Hip Hop,false,0,0,0
9795cf1a-d5a6-4c4b-9a72-cc70c2688352,Amapiano,Asake & Olamide,165,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260027893_Amapiano TrendyBeatz.com_mixed.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:47:16.843834+00,2025-09-07 15:47:16.843834+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260032906_Asake & Olamide - Amapiano.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260033839_amapiano.jpg,Afro,false,0,0,0
8644bdb0-fb90-4c3a-8129-29470b0cabb7,Bad Influence,Omah Lay,139,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260141385_Bad Influence_mixed.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:49:09.82255+00,2025-09-07 15:49:09.82255+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260146256_Omah Lay - Bad Influence.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260147181_bad influence.jpg,Afro,false,0,0,0
d70fe9f7-205e-4c0e-9a3d-ecb3b61d9165,Halo,Beyonce,262,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260292745_Beyonce - Halo (Lyrics)_mixed.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:51:43.226957+00,2025-09-07 15:51:43.226957+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260299734_Beyonce- Halo.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260300591_halo.jpg,R&B,false,0,0,0
27e297ff-4f61-4dbf-b917-4a7192c85365,Favour,Lawrence Oyor,300,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260416708_Favour CeeNaija.com_mixed.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:53:47.715301+00,2025-09-07 15:53:47.715301+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260424040_Lawrence Oyor - Favour.lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260424981_favour.jpg,Gospel,false,0,0,0
d5ae19db-af30-414a-89d7-c4a5be2a53f0,Hate That I Love You,Rihanna ft Ne yo,219,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260568746_Hate That I Love You via Offblogmedia.com_mixed.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:56:18.290916+00,2025-09-07 15:56:18.290916+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260574934_Rihanna - Hate that i Love You (feat. Ne-Yo).lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260575828_hate that i love you.jpg,Pop,false,0,0,0
87137103-da46-42be-acb2-a132f1f405cb,Hello,Adele,300,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260669923_Hello_mixed.mp3,null,f0eddc26-5112-49c7-bbc2-fdf440e09550,2025-09-07 15:57:59.833752+00,2025-09-07 15:57:59.833752+00,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260676390_HELLO - ADELE - 25 - 2015 (1).lrc,null,f0eddc26-5112-49c7-bbc2-fdf440e09550/1757260677323_hellobyadele.jpg,R&B,false,0,0,0
